Time Scores
71.46
65.71
81.99
59.38
93.29
71.87
60.04
63.96
89.11
115.19
76.89
58.01
84.27
60.84
59.4
63.17
69.58
61.39
84.03
84.37
67.38
64.29
61.46
70.41
119.29
60.23
60.66
169.57
127.11
217.03
57.54
57.18
72.49
72.53
76.27
73.62
74.63
77.09
61.75
59.68
63.6
59.09
56.8
61.98
57.15
62.8
58.35
63.34
